aX,aY,aZ,gX,gY,gZ
0.848,-0.911,0.321,-32.776,-25.024,2.747
0.823,-0.873,0.288,-30.579,-25.146,4.639
0.851,-0.805,0.298,-27.527,-25.879,2.991
0.838,-0.801,0.305,-23.254,-25.818,-2.136
0.847,-0.775,0.301,-17.212,-24.780,-5.554
0.857,-0.751,0.301,-12.573,-24.475,-5.798
0.876,-0.715,0.282,-9.888,-21.912,-3.784
0.882,-0.686,0.269,-11.475,-18.616,-2.869
0.876,-0.667,0.254,-13.306,-15.747,-2.258
0.878,-0.662,0.217,-14.526,-13.306,-1.343
0.867,-0.641,0.186,-17.212,-11.597,0.671
0.833,-0.623,0.180,-21.667,-11.230,4.150
0.839,-0.609,0.181,-25.818,-11.475,7.751
0.849,-0.637,0.226,-28.320,-12.207,10.010
0.885,-0.631,0.247,-26.489,-12.024,12.024
0.899,-0.656,0.282,-20.691,-9.644,7.935
0.872,-0.647,0.278,-14.832,-6.958,4.028
0.861,-0.617,0.247,-6.714,-4.883,-0.122
0.849,-0.610,0.227,-0.916,-3.967,-3.479
0.847,-0.590,0.212,1.709,-3.967,-5.127
0.833,-0.564,0.208,1.648,-3.357,-7.202
0.824,-0.560,0.188,0.000,-2.380,-9.033
0.811,-0.575,0.176,-2.563,-1.770,-9.827
0.797,-0.592,0.172,-5.249,-1.221,-8.179
0.767,-0.647,0.178,-7.019,-1.160,-6.592

1.047,-0.766,0.857,-30.640,22.705,113.281
1.070,-0.749,0.885,-15.503,28.564,104.370
1.069,-0.745,0.932,2.136,32.349,86.975
1.079,-0.766,1.008,19.836,34.119,66.406
1.115,-0.843,1.086,34.241,37.598,47.668
1.109,-0.912,1.150,46.082,46.265,36.865
1.077,-0.959,1.198,53.284,57.617,34.485
1.068,-1.000,1.207,58.044,68.176,37.842
1.065,-1.020,1.198,64.148,77.148,47.302
1.054,-1.037,1.187,68.054,85.571,60.669
1.059,-1.042,1.305,68.604,93.445,77.393
1.077,-1.094,1.622,67.017,99.243,93.445
1.135,-1.194,1.990,69.519,106.506,105.225
1.280,-1.281,2.144,85.266,122.803,117.188
1.296,-1.266,2.177,105.713,146.484,130.493
1.250,-1.221,2.164,123.108,178.101,142.395
1.180,-1.154,2.304,133.179,209.229,153.931
1.073,-1.143,2.317,150.208,230.164,172.485
0.916,-1.036,2.213,162.842,249.817,197.937
0.728,-0.918,2.158,156.799,273.376,227.722
0.513,-0.857,1.983,135.803,299.866,267.090
0.286,-0.777,1.765,100.586,329.529,316.284
0.080,-0.581,1.736,53.894,364.746,372.559
-0.173,-0.390,1.476,11.719,403.809,418.518
-0.703,-0.187,0.938,-29.175,446.716,441.956
-1.393,0.000,0.033,-59.753,493.408,435.913
-2.166,0.175,-0.940,-59.265,519.531,391.968
-3.228,0.444,-1.887,-49.561,519.043,315.063
-4.000,0.689,-2.820,-7.446,528.381,199.890
-4.000,1.399,-3.463,92.041,546.814,45.044
-4.000,2.656,-4.000,219.788,541.809,-114.868
-4.000,3.890,-4.000,307.556,437.927,-226.562
-4.000,4.000,-4.000,259.338,180.664,-248.474
