aX,aY,aZ,gX,gY,gZ
4.000,4.000,4.000,85.571,-473.389,323.303
4.000,3.543,4.000,20.691,-497.986,103.638
4.000,1.209,4.000,-77.637,-328.186,-195.923
1.657,-0.607,4.000,-16.541,35.828,-441.711
-1.747,-0.883,2.520,69.214,319.580,-353.394
-1.757,-0.079,0.694,38.452,460.693,-72.754
-1.703,0.338,-0.246,-43.640,455.811,56.885
-2.373,0.169,-1.006,-71.045,367.737,-6.836
-2.817,0.011,-1.821,-25.146,250.549,-76.721
-2.449,0.168,-2.244,23.132,140.991,-60.181
-1.664,0.443,-2.131,35.706,50.781,-4.700
-0.882,0.556,-1.614,23.376,-23.987,28.137
-0.215,0.492,-0.867,0.671,-85.327,32.776
0.304,0.351,-0.140,-25.269,-118.652,30.884
0.649,0.333,0.495,-54.382,-120.239,41.016
0.922,0.549,1.016,-74.524,-91.309,64.270
1.179,0.856,1.312,-74.280,-35.400,81.299
1.313,1.242,1.440,-62.073,16.724,83.801
1.266,1.524,1.353,-34.729,63.171,55.725
1.037,1.636,1.110,1.465,90.210,4.028
0.809,1.624,0.883,32.227,94.788,-53.467
